Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","28513","London","Westminster","A302","PU","529060","179150","Wilton Rd/Vauxhall Bridge Rd","Bressenden Place","0.06","8","21","452","28","85","23","3","1","1","1","1","29","614"
"2000","28514","London","Westminster","A5204","PU","528114","181216","A41","A41","0.12","36","37","395","0","10","35","22","1","0","0","0","57","500"
"2000","36071","London","Westminster","A40","TM","525432","181677","LA Boundary","","1.24","0","2851","32496","482","6631","1121","64","90","75","44","41","1436","43896"
"2000","36150","London","Westminster","A5","PU","527700","181040","A5204","Marble Arch","0.12","36","69","1124","89","219","39","5","2","3","2","2","52","1554"
"2000","36435","London","Westminster","A40","PU","528150","181050","A41","A41","0.12","63","24","493","175","45","8","1","0","1","0","0","11","748"
"2000","36436","London","Westminster","A402","PU","525962","180603","LA Boundary","Westbourne St/Lancaster Terrace","0.8","880","857","8370","318","1206","263","16","6","3","2","1","290","11041"
"2000","36471","London","Westminster","A41","PU","528200","181100","A40","A5204","0.12","15","41","563","47","83","14","1","1","1","0","0","18","752"
"2000","36796","London","Westminster","A202","PU","529080","179000","Victoria St/Wilton Rd","Wilton Rd","0.12","20","48","812","38","152","32","3","2","1","1","1","40","1090"
"2000","37704","London","Westminster","A3212","PU","530200","178600","A202","A3203","0.49","145","410","4723","149","974","178","26","4","4","4","2","218","6474"
"2000","37706","London","Westminster","A202","PU","529050","179270","Buckingham Palace Rd","Victoria St","0.12","32","61","881","39","213","31","4","2","1","1","1","40","1233"
"2000","37774","London","Westminster","A4201","PU","528970","181400","A40","A5204","0.12","130","128","745","42","169","22","1","1","0","0","0","25","1109"
"2000","37775","London","Westminster","A4205","PU","527000","181500","A4206","Edgware Rd","0.68","70","75","1624","150","188","61","2","0","0","0","0","65","2102"
"2000","37776","London","Westminster","A4206","PU","526000","181300","A4207","A4205","0.68","230","175","2872","217","548","85","20","2","2","1","1","112","3924"
"2000","37914","London","Westminster","A400","PU","529864","181203","A401","Andrew Borde St","0.18","54","52","379","86","68","27","1","0","0","0","0","29","613"
"2000","38167","London","Westminster","A41","PU","526997","182978","A5205","LA Boundary","0.74","52","209","6957","334","689","115","10","9","13","4","5","156","8345"
"2000","38177","London","Westminster","A4","PU","529470","180208","Piccadilly","Waterloo Pl","0.49","97","472","3802","79","614","108","9","4","1","1","0","124","5091"
"2000","38534","London","Westminster","A4","PU","529930","180400","Pall Mall","Northumberland ave","0.18","72","322","2615","107","371","124","6","5","1","1","0","137","3552"
"2000","38630","London","Westminster","A41","PU","527143","182845","Prince Albert Rd","St Johns Wood Road","0.06","18","38","776","26","113","16","1","1","1","0","0","19","971"
"2000","38631","London","Westminster","A4","PU","530668","181000","A301","A301/A4200","0.18","204","196","1145","135","204","45","2","2","1","0","0","50","1730"
"2000","39028","London","Westminster","A202","PU","529881","178358","A3213","A3212","0.12","76","92","1399","72","238","73","6","2","2","1","2","87","1888"
"2000","46119","London","Westminster","A4","PU","530018","180495","Haymarket","St Martins Pl","0.18","131","176","2014","151","214","74","5","2","1","0","0","83","2638"
"2000","46120","London","Westminster","A4","PU","528000","179760","A315/A3216","Hyde Park Corner","0.43","368","1238","6628","366","1014","331","15","7","4","2","2","361","9607"
"2000","46155","London","Westminster","A5","PU","526800","182000","A5205","A501","0.55","165","254","4369","190","914","140","11","6","9","6","6","177","5904"
"2000","46433","London","Westminster","A40","PU","529500","181330","A4201","LA Boundary","0.43","453","112","1437","260","162","24","1","0","1","0","0","26","1997"
"2000","46469","London","Westminster","A41","PU","527850","181700","Portman Sq (north)","York St","0.31","89","107","1868","183","226","39","4","6","3","1","0","53","2437"
"2000","47088","London","Westminster","A404","PU","525000","182070","A4207","A40","1.24","297","424","8241","247","990","194","34","30","7","3","4","272","10174"
"2000","47661","London","Westminster","A3211","PU","530340","180000","A302","A400","0.37","174","331","1961","31","309","71","10","4","1","1","0","87","2719"
